20190610,VfL Wolfsburg vs 1. FC Union Berlin,1
20190610,Eintracht Frankfurt vs Werder Bremen,N 1
20190610,Borussia M.gladbach vs FC Augsburg,1
20190610,Borussia M.gladbach vs FC Augsburg,
20190610,Manchester City vs Wolverhampton Wanderers,1
20190610,Arsenal London vs AFC Bournemouth,N 2
20190610,Newcastle United vs Manchester United,N
20190610,Southampton FC vs Chelsea London,2
20190610,Real Valladolid CF vs Atlético de Madrid,N 2
20190610,FC Barcelona vs Sevilla FC,1
20190610,Real Sociedad vs Getafe CF,1
20190610,Atlético Osasuna vs Villarreal CF,2
20190610,Real CD Mallorca vs Espanyol Barcelona,2
20190610,Stade Rennais FC vs Stade de Reims,N 2
20190610,AS de Saint Etienne vs Olympique Lyonnais,2
20190610,Lille Olympique SC vs Nimes Olympique,1
20190610,Lille Olympique SC vs Nimes Olympique,
20190610,Inter Milano vs Juventus Torino,1
20190610,AS Roma vs Cagliari Calcio,2
20190610,Atalanta Bergamo vs US Lecce,1
20190610,Bologna FC vs SS Lazio Roma,2
20190610,FC Torino vs SSC Napoli,2
20190610,ACF Fiorentina vs Udinese Calcio,N 1
20190610,CA River Plate vs Patronato de Paraná,1
20190610,CA Lanus vs Rosario Central,N 1
20190610,Racing Club vs CA Aldosivi,1
20190610,Unión de Santa Fe vs Colon de Santa Fe,N 1
20190610,Velez Sarsfield vs CA Independiente,1
20190610,FK Austria Wien vs SK Sturm Graz,2
20190610,Wolfsberger AC vs SKN Sankt Pölten,1
20190610,TSV Sparkasse Hartberg vs LASK Linz,2
20190610,TSV Sparkasse Hartberg vs LASK Linz,
20190610,Club Brugge KV vs KAA Gent,1
20190610,KRC Genk vs Royal Excel Mouscron,1
20190610,Royal Antwerp FC vs Standard de Liege,N 1
20190610,Ludogorets Razgrad vs Levski Sofia,2
20190610,FC Arda Kardzhali vs Dunav Ruse,1
20190610,FC Arda Kardzhali vs Dunav Ruse,
20190610,Botafogo vs Fluminense FC,N 1
20190610,Cruzeiro Esporte Clube vs SC Internacional,N 2
20190610,Ceará SC Fortaleza vs Goiás Esporte Clube,1
20190610,SE Palmeiras vs Atlético Mineiro,1
20190610,Chapecoense vs Flamengo,2
20190610,Gremio Porto Alegrense vs Corinthians Paulista,1
20190610,Bahia Salvador vs Atlético Paranaense,1
20190610,Bahia Salvador vs Atlético Paranaense,
20190610,FC St. Gallen vs FC Basel 1893,2
20190610,FC Zürich vs BSC Young Boys Bern,2
20190610,FC Sion vs AC Lugano,N 1
20190610,FK Mladá Boleslav vs FC Viktoria Plzen,1
20190610,SK Ceské Budejovice vs Bohemians 1905 Praha,N 1
20190610,FK Jablonec 97 vs SK Slavia Praha,2
20190610,Randers FC vs AGF Aarhus,N 1
20190610,Esbjerg FB vs SonderjyskE Haderslev,2
20190610,Silkeborg IF vs FC Midtjylland,2
20190610,Brondby IF vs FC Kobenhavn,2
20190610,Odense Boldklub vs AC Horsens,1
20190610,HNK Rijeka vs Lokomotiva Zagreb,1
20190610,HNK Hajduk Split vs NK Varaždin,1
20190610,Budapest Honvéd vs Ferencvárosi TC Budapest,2
20190610,Budapest Honvéd vs Ferencvárosi TC Budapest,
20190610,Tigres de la UANL vs Santos Laguna,1
20190610,Chivas de Guadalajara vs Pumas UNAM,N 1
20190610,CD Cruz Azul vs Club América,N 2
20190610,Club León vs Veracruz Tiburones,1
20190610,Deportivo Toluca vs Puebla FC,N
20190610,Deportivo Toluca vs Puebla FC,
20190610,ADO Den Haag vs Ajax Amsterdam,2
20190610,Fortuna Sittard vs Feyenoord Rotterdam,2
20190610,PSV Eidhoven vs VVV Venlo,1
20190610,Willem II Tilburg vs AZ Alkmaar,2
20190610,Willem II Tilburg vs AZ Alkmaar,
20190610,SK Brann Bergen vs Molde FK,2
20190610,Lilleström SK vs FK Bodo/Glimt,N 2
20190610,Stabaek IF vs FK Viking Stavanger,N 2
20190610,Tromsö IL vs Kristiansund BK,2
20190610,FK Haugesund vs Rosenborg BK Trondheim,N 2
20190610,Ranheim Fotball vs Sparta Sarpsborg,N 1
20190610,Ranheim Fotball vs Sparta Sarpsborg,
20190610,LKS Lodz vs SSA Korona Kielce,2
20190610,Piast Gliwice vs Legia Warszawa,N 2
20190610,KS Cracovia Krakow vs Górnik Zabrze,1
20190610,Viitorul Constanta vs CFR 1907 Cluj,N 1
20190610,Viitorul Constanta vs CFR 1907 Cluj,
20190610,Ural Sverdlovskaya vs Zenit Sankt Petersburg,2
20190610,Lokomotiv Moskva vs Arsenal Tula,1
20190610,CSKA Moskva vs FC Rostov na Donu,1
20190610,FK Krasnodar vs Spartak Moskva,1
20190610,FK Krasnodar vs Spartak Moskva,
20190610,Glasgow Rangers vs Hamilton AFC,1
20190610,Livingston FC vs Celtic Glasgow,2
20190610,Livingston FC vs Celtic Glasgow,
20190610,Malmo FF vs IFK Göteborg,1
20190610,IF Elfsborg vs Falkenbergs FF,1
20190610,BK Häcken vs Ostersund FK,1
20190610,Djurgärdens IF FF vs Hammarby IF,N 2
20190610,Kalmar FF vs Athletic FC United,N 1
20190610,MFK Ružomberok vs ŠK Slovan Bratislava,2
20190610,AS Trencín vs FC Zlaté Moravce,N 2
20190610,Gazientep BB vs Istanbul Basaksehir,N 1
20190610,Sivasspor vs Ankaragücü,1
20190610,Besiktas J.K. vs Alanyaspor,N 2
20190610,Çaykur Rizespor vs Trabzonspor,2
20190610,Çaykur Rizespor vs Trabzonspor,
20190610,SC Dnipro-1 vs FC Shakhtar Donetsk,2
20190610,PFC Oleksandria vs Karpaty Lviv,1
20190610,FC Kolos Kovalivka vs FC Dynamo Kiev,2
20190610,Holstein Kiel vs SSV Jahn Regensburg,2
20190610,1. FC Heidenheim 1846 vs VfL Bochum 1848,1
20190610,1. FC Nürnberg vs FC St. Pauli 1910,2
20190610,1. FC Nürnberg vs FC St. Pauli 1910,
20190610,Real Oviedo vs CD Numancia de Soria,N 2
20190610,Deportivo de La Coruna vs UD Almería,N 2
20190610,Real Zaragoza vs Cádiz CF,1
20190610,SD Huesca vs Malaga CF,1
20190610,CF Fuenlabrada vs Sporting de Gijón,N 1
20190610,Real RC Santander vs Girona FC,1
20190610,Real RC Santander vs Girona FC,
20190610,US Cremonese vs AS Cittadella,1
20190610,Salernitana Calcio vs Frosinone Calcio,1
20190610,Ascoli Calcio vs Pescara Calcio,1
20190610,Ascoli Calcio vs Pescara Calcio,
20190610,Sporting Cristal vs Real Garcilaso,1
20190610,Sport Boys Association vs Universitario de Deportes,N 2
20190610,Unión Comercio vs Deportivo Municipal,1
20190610,Club Alianza Lima vs Pirata FC,1
20190610,Alianza Universidad vs FBC Melgar Arquipa,N 1
20190610,Alianza Universidad vs FBC Melgar Arquipa,
20190610,Portland Timbers vs San Jose Earthquakes,1
20190610,Seattle Sounders vs Minnesota United,N 1
20190610,Toronto FC vs Columbus Crew,1
