20190410,Amiens SC vs Olympique de Marseille,N 2
20190510,Paris Saint - Germain vs Angers SC l´Ouest,1
20190510,Stade Brestois 29 vs FC Metz,1
20190510,Dijon Football Cote d´Or vs Racing Club Strasbourg,N 1
20190510,Montpellier Hérault SC vs AS Monaco,N 1
20190510,FC Nantes Atlantique vs OGC Nice,1
20190510,Toulouse FC vs Girondins de Bordeaux,2
20190610,Lille Olympique SC vs Nimes Olympique,1
20190610,Stade Rennais FC vs Stade de Reims,N 2
20190610,AS de Saint Etienne vs Olympique Lyonnais,2
